Campaign_ID,Campaign_Name,Start_Date,End_Date,Channel,Impressions,Clicks,Spend,Conversions,Active,CTR,CPC,Conversion_Rate,Cost_Per_Conversion
CMP-00001,Q1_Launch_CMP-00001,2023-11-17,2023-11-27,Instagram,62109,2311,998.1850000000001,268,False,3.72,0.43,11.63,3.71
CMP-00002,Q4_Summer_CMP-00002,2023-01-23,2023-02-17,TikTok,83007,1748,998.1850000000001,315,False,2.11,0.57,18.06,3.16
CMP-00003,Q4_Summer_CMP-00003,2023-05-26,2023-05-28,Email,64199,2782,998.1850000000001,174,True,4.33,0.36,6.28,5.71
CMP-00004,Q3_Winter_CMP-00004,2023-06-17,2023-06-30,Google Ads,59612,944,534.24,14,True,1.58,0.57,1.49,37.89
CMP-00005,Q3_Winter_CMP-00005,2023-10-19,2023-11-12,Email,47002,1373,554.18,216,True,2.92,0.4,15.74,2.56
CMP-00006,Q1_BlackFriday_CMP-00006,2023-02-17,2023-03-17,Facebook,24863,330,378.75,47,True,1.33,1.15,14.35,8.0
CMP-00007,Q1_Launch_CMP-00007,2023-06-08,2023-06-16,Google Ads,28436,775,1095.95,88,True,2.73,1.41,11.36,12.44
CMP-00008,Q4_Summer_CMP-00008,2023-02-25,2023-03-16,Instagram,74694,885,1550.56,145,False,1.18,1.75,16.49,10.62
CMP-00009,Q2_Winter_CMP-00009,2023-10-15,2023-10-21,Email,7446,91,148.4,15,True,1.22,1.63,16.96,9.61
CMP-00010,Q1_Launch_CMP-00010,2023-08-19,2023-08-23,Email,8905,289,507.86,35,True,3.25,1.76,12.17,14.44
CMP-00011,Q3_Winter_CMP-00011,2023-07-01,2023-07-12,TikTok,39968,674,1073.09,130,False,1.69,1.59,19.35,8.23
CMP-00012,Q1_BlackFriday_CMP-00012,2023-05-24,2023-06-19,Email,77554,989,1479.06,145,True,1.28,1.5,14.67,10.19
CMP-00013,Q4_Summer_CMP-00013,2023-02-25,2023-03-17,TikTok,65875,3085,998.1850000000001,427,True,4.68,0.32,13.86,2.33
CMP-00014,Q4_Summer_CMP-00014,2023-12-03,2023-12-18,Google Ads,59203,410,559.39,32,True,0.69,1.36,7.87,17.34
CMP-00015,Q4_Summer_CMP-00015,2023-08-25,2023-09-03,Google Ads,53646,1632,823.86,17,False,3.04,0.5,1.04,48.4
CMP-00016,Q4_Summer_CMP-00016,2023-04-27,2023-05-02,Instagram,11519,341,136.31,19,True,2.96,0.4,5.58,7.17
CMP-00017,Q3_Winter_CMP-00017,2023-06-01,2023-06-09,Facebook,33513,545,308.42,84,False,1.63,0.57,15.51,3.65
CMP-00018,Q1_Launch_CMP-00018,2023-09-23,2023-09-28,Email,8410,213,362.01,30,False,2.53,1.7,14.49,11.73
CMP-00019,Q1_BlackFriday_CMP-00019,2023-09-20,2023-09-26,Facebook,75936,679,998.1850000000001,49,True,0.89,1.47,7.29,20.17
CMP-00020,Q3_Winter_CMP-00020,2023-06-18,2023-07-08,TikTok,75208,2817,998.4200000000001,363,False,3.75,0.35,12.89,2.75
CMP-00021,Q3_Winter_CMP-00021,2023-04-21,2023-04-25,Email,26180,392,769.99,18,True,1.5,1.96,4.71,41.7
CMP-00022,Q2_Winter_CMP-00022,2023-08-29,2023-08-31,Instagram,29647,406,738.34,24,True,1.37,1.82,6.01,30.26
CMP-00023,Q1_Launch_CMP-00023,2023-08-29,2023-09-14,Google Ads,32086,615,323.47,116,True,1.92,0.53,19.0,2.77
CMP-00024,Q1_BlackFriday_CMP-00024,2023-08-07,2023-08-16,Facebook,88985,4058,998.4200000000001,359,False,4.56,0.25,8.85,2.78
CMP-00025,Q4_Summer_CMP-00025,2023-01-27,2023-02-10,Email,49108,2005,3459.99,113,True,4.08,1.73,5.65,30.52
CMP-00026,Q4_Summer_CMP-00026,2023-06-22,2023-06-27,Instagram,76326,3633,998.1850000000001,372,True,4.76,0.27,10.26,2.68
CMP-00027,Q3_Winter_CMP-00027,2023-08-13,2023-08-20,TikTok,45158,1550,864.69,129,False,3.43,0.56,8.35,6.68
CMP-00028,Q1_BlackFriday_CMP-00028,2023-12-13,2023-12-26,Facebook,69969,2437,1214.96,362,True,3.48,0.5,14.86,3.35
CMP-00029,Q3_Winter_CMP-00029,2023-07-11,2023-08-01,TikTok,53068,1411,2639.24,272,False,2.66,1.87,19.28,9.7
CMP-00030,Q3_Winter_CMP-00030,2023-05-06,2023-05-19,Google Ads,28221,1290,768.2,157,False,4.57,0.6,12.24,4.86
CMP-00031,Q3_Winter_CMP-00031,2023-07-22,2023-08-07,TikTok,87691,2454,2274.02,300,True,2.8,0.93,12.23,7.58
CMP-00032,Q2_Winter_CMP-00032,2023-03-06,2023-03-22,Facebook,71039,1490,998.1850000000001,118,False,2.1,0.67,7.93,8.45
CMP-00033,Q1_Launch_CMP-00033,2023-02-03,2023-02-11,Google Ads,77049,2605,1332.59,305,False,3.38,0.51,11.73,4.36
CMP-00034,Q3_Winter_CMP-00034,2023-09-05,2023-09-14,Instagram,94840,2805,939.89,198,True,2.96,0.34,7.07,4.74
CMP-00035,Q1_BlackFriday_CMP-00035,2023-12-26,2024-01-08,Facebook,25252,267,998.1850000000001,2,False,1.06,3.74,1.02,366.25
CMP-00036,Q1_Launch_CMP-00036,2023-11-05,2023-11-06,Instagram,9610,217,388.5,37,False,2.26,1.79,17.46,10.26
CMP-00037,Q1_BlackFriday_CMP-00037,2023-08-02,2023-08-22,TikTok,58436,1116,2065.69,102,False,1.91,1.85,9.16,20.21
CMP-00038,Q1_BlackFriday_CMP-00038,2023-01-15,2023-02-02,TikTok,32953,1420,1112.94,146,False,4.31,0.78,10.35,7.57
CMP-00039,Q2_Winter_CMP-00039,2023-12-27,2024-01-05,Instagram,43859,966,651.25,24,True,2.2,0.67,2.59,26.06
CMP-00040,Q4_Summer_CMP-00040,2023-06-14,2023-06-25,Google Ads,23849,1000,1023.97,169,True,4.19,1.02,16.91,6.06
CMP-00041,Q1_Launch_CMP-00041,2023-04-16,2023-04-26,Instagram,40147,999,998.1850000000001,42,True,2.49,1.0,4.24,23.59
CMP-00042,Q4_Summer_CMP-00042,2023-11-22,2023-12-11,Google Ads,39628,1541,476.97,135,True,3.89,0.31,8.8,3.52
CMP-00043,Q4_Summer_CMP-00043,2023-09-30,2023-10-23,Google Ads,35380,392,636.89,66,False,1.11,1.62,16.97,9.58
CMP-00044,Q2_Winter_CMP-00044,2023-10-01,2023-10-05,TikTok,74362,3465,998.4200000000001,336,False,4.66,0.29,9.7,2.97
CMP-00045,Q1_Launch_CMP-00045,2023-04-12,2023-04-24,Email,59468,1583,1897.66,295,True,2.66,1.2,18.69,6.41
CMP-00046,Q1_BlackFriday_CMP-00046,2023-12-29,2023-12-30,Google Ads,47687,795,998.1850000000001,39,True,1.67,1.26,4.98,25.23
CMP-00047,Q3_Winter_CMP-00047,2023-06-15,2023-06-29,Email,11715,185,179.02,26,False,1.58,0.97,14.59,6.63
CMP-00048,Q1_BlackFriday_CMP-00048,2023-07-13,2023-07-21,Facebook,57287,969,448.97,189,True,1.69,0.46,19.58,2.37
CMP-00049,Q4_Summer_CMP-00049,2023-10-02,2023-10-12,Email,17914,385,998.1850000000001,87,False,2.15,2.59,22.61,11.47
CMP-00050,Q4_Summer_CMP-00050,2023-08-29,2023-09-12,Email,31758,1184,1365.89,167,False,3.73,1.15,14.15,8.15
CMP-00051,Q4_Summer_CMP-00051,2023-03-04,2023-03-14,Email,41783,1994,2062.08,87,True,4.77,1.03,4.37,23.69
CMP-00052,Q1_Launch_CMP-00052,2023-04-21,2023-05-03,Email,14558,511,626.77,78,True,3.51,1.23,15.28,8.03
CMP-00053,Q2_Winter_CMP-00053,2023-05-12,2023-06-04,Email,39254,1162,2025.84,212,False,2.96,1.74,18.27,9.54
