Campaign_ID,Campaign_Name,Start_Date,End_Date,Channel,Impressions,Clicks,Spend,Conversions,Active,CTR,CPC,Conversion_Rate,Cost_Per_Conversion
CMP-00001,Q1_Launch_CMP-00001,2023-11-17,2023-11-27,Instagram,62109,2311,,268.7024043938756,No,3.72,1.07,11.63,9.24
CMP-00002,Q4_Summer_CMP-00002,2023-01-23,2023-02-17,TikTok,83007,1748,,315.6343321411931,No,2.11,0.5,,2.78
CMP-00003,Q4_Summer_CMP-00003,2023-05-26,2023-05-28,Email,64199,2782,,174.79614557105737,Yes,4.33,1.27,,20.17
CMP-00004,Q3_Winter_CMP-00004,2023-06-17,2023-06-30,Google Ads,59612,944,534.24,14.099335152015149,Yes,1.58,0.57,1.49,37.89
CMP-00005,Q3_Winter_CMP-00005,2023-10-19,2023-11-12,,47002,1373,554.18,216.07512081102468,Yes,2.92,0.4,15.74,
CMP-00006,Q1_BlackFriday_CMP-00006,2023-02-17,2023-03-17,Facebook,24863,330,378.75,47.33907928024264,Yes,1.33,1.15,14.35,8.0
CMP-00007,Q1_Launch_CMP-00007,2023-06-08,2023-06-16,Google Ads,28436,775,1095.95,88.07364482552501,Yes,2.73,1.41,11.36,12.44
CMP-00008,Q4_Summer_CMP-00008,2023-02-25,2023-03-16,Instagram,74694,885,1550.56,145.9498800039671,No,1.18,,16.49,
CMP-00009,Q2_Winter_CMP-00009,2023-10-15,2023-10-21,,7446,91,148.4,15.435058803086212,Yes,1.22,1.63,16.96,9.61
CMP-00010,Q1_Launch_CMP-00010,2023-08-19,2023-08-23,,8905,289,507.86,35.171770643277924,Yes,3.25,1.76,12.17,14.44
CMP-00011,Q3_Winter_CMP-00011,2023-07-01,2023-07-12,TikTok,39968,674,1073.09,130.4367130248152,No,1.69,1.59,19.35,8.23
CMP-00012,Q1_BlackFriday_CMP-00012,2023-05-24,2023-06-19,,77554,989,1479.06,145.13107207677197,Yes,1.28,,14.67,10.19
CMP-00013,Q4_Summer_CMP-00013,2023-02-25,2023-03-17,TikTok,65875,3085,,427.60050173772487,Yes,4.68,0.32,13.86,2.29
CMP-00014,Q4_Summer_CMP-00014,2023-12-03,2023-12-18,Google Ads,59203,410,559.39,32.25475764031847,Yes,0.69,1.36,7.87,17.34
CMP-00015,Q4_Summer_CMP-00015,2023-08-25,2023-09-03,Google Ads,53646,1632,823.86,17.020340052290376,No,3.04,0.5,1.04,48.4
CMP-00016,Q4_Summer_CMP-00016,2023-04-27,2023-05-02,Instagram,11519,341,136.31,19.020675841603794,Yes,2.96,,5.58,7.17
CMP-00017,Q3_Winter_CMP-00017,2023-06-01,2023-06-09,Facebook,33513,545,308.42,84.55396848065493,No,1.63,0.57,15.51,3.65
CMP-00018,Q1_Launch_CMP-00018,2023-09-23,2023-09-28,,8410,213,362.01,30.85848966707244,No,2.53,1.7,14.49,
CMP-00019,Q1_BlackFriday_CMP-00019,2023-09-20,2023-09-26,Facebook,75936,679,,49.49516690453044,Yes,0.89,1.56,7.29,21.46
